CID,SMILES,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),SMILES_raw
2361.0,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,active,3.857077887,119.2665027,inactive,,0.0,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43
6731.0,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,active,4.285033921,86.54986226,inactive,,0.0,C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O
71245.0,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,active,6.352213339,88.01019617,inactive,,0.0,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3
5329098.0,C=c1cc(C)[nH]c1=Cc1c(O)[nH]c2ccccc12,active,6.682424727,87.21673006,inactive,,0.0,CC1=CC(=C(N1)/C=C\2/C3=CC=CC=C3NC2=O)C
33334.0,COc1ccc2nc(NC(=O)Nc3ccccc3)sc2c1,active,7.791135224,106.2547737,inactive,,0.0,COC1=CC2=C(C=C1)N=C(S2)NC(=O)NC3=CC=CC=C3
8691.0,Nc1ccc(N=Nc2ccccc2)c(N)n1,active,7.791135224,82.22458405,inactive,,0.0,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl
4115.0,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,active,8.029949747,149.5905681,inactive,,0.0,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl
10021362.0,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,active,8.095942383,105.4480973,inactive,,0.0,C1CN(CCC1(C2=CC=C(C=C2)F)O)[C@@H]3COC4=C([C@@H]3O)C=CC(=C4)O
6001.0,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,active,9.05363609,108.8200915,inactive,,0.0,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C
62130.0,CCn1c2ccccc2c2cc(N)ccc21,active,9.590097755,147.8653549,inactive,,0.0,CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31.Cl
65758.0,Clc1ccccc1-c1nc(-c2ccncc2)no1,active,10.1921876,165.1725216,inactive,,0.0,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=NC=C3)Cl
67274.0,COc1ccccc1NC(=O)c1cc2ccccc2cc1O,active,10.87072248,122.9353209,inactive,,0.0,COC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C=C2O
10212.0,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,active,11.8832183,203.329619,inactive,,0.0,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C
9882837.0,OC12N=C(c3ccccc3)SC1Cc1cc(Cl)ccc12,active,15.35530364,225.2944139,inactive,,0.0,C1C2C(C3=C1C=C(C=C3)Cl)(N=C(S2)C4=CC=CC=C4)O
17113.0,Cc1ccc(O)c(-n2nc3ccccc3n2)c1,active,15.82631483,101.5228977,inactive,,0.0,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2
38779.0,CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,active,16.05499833,88.62020411,inactive,,0.0,CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl
9153.0,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,active,16.58027548,116.6615667,inactive,,0.0,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1
6624.0,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,active,16.58027548,81.7020235,inactive,,0.0,CC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O
444795.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,active,18.58445799,94.34949344,inactive,,0.0,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
9414.0,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,active,18.60337507,81.93047401,inactive,,0.0,CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC
5284441.0,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,active,18.7927219,109.9359119,inactive,,0.0,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl
69317.0,c1ccc(SCCSc2ccccc2)cc1,active,19.15438772,107.1880529,inactive,,0.0,C1=CC=C(C=C1)SCCSC2=CC=CC=C2
4793.0,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,active,19.33118196,80.47735483,inactive,,0.0,CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O
75628.0,CC(C)c1ccc(OP(=O)(Oc2ccc(C(C)C)cc2)Oc2ccc(C(C)C)cc2)cc1,active,19.33118196,80.58935125,inactive,,0.0,CC(C)C1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C(C)C)OC3=CC=C(C=C3)C(C)C
31957.0,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,active,20.08746234,130.0020935,inactive,,0.0,CCN(CC)C1=NC(=CC(=N1)OP(=S)(OCC)OCC)C
24744.0,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,active,20.08746234,85.73836141,inactive,,0.0,CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC
5282379.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,active,20.14876169,86.52276994,inactive,,0.0,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C
158629.0,Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br,active,20.55139345,134.7617471,inactive,,0.0,C1=CC(=C(C(=C1C2=CC(=C(C(=C2)Br)Br)Br)Br)Br)Br
8615.0,Nc1ccccc1C(=O)OCCc1ccccc1,active,20.87333014,163.9286276,inactive,,0.0,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2N
67005.0,Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])C(C)(C)CC2(C)C,active,20.87333014,90.55532324,inactive,,0.0,CC1=C(C=C2C(=C1[N+](=O)[O-])C(CC2(C)C)(C)C)[N+](=O)[O-]
38884.0,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,active,21.6899429,86.72318565,inactive,,0.0,CCCCC1=C(N=C(N=C1OS(=O)(=O)N(C)C)NCC)C
4169.0,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,active,22.06932453,92.21646509,inactive,,0.0,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C
13728.0,CN(C)C(=O)C(c1ccccc1)c1ccccc1,active,22.1951343,81.78802718,inactive,,0.0,CN(C)C(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
37125.0,CCCSP(=S)(OCC)Oc1ccc(SC)cc1,active,23.42026162,112.0440829,inactive,,0.0,CCCSP(=S)(OCC)OC1=CC=C(C=C1)SC
69912.0,Nc1ccc(Cl)cc1C(=O)c1ccccc1F,active,23.71013766,86.24692775,inactive,,0.0,C1=CC=C(C(=C1)C(=O)C2=C(C=CC(=C2)Cl)N)F
16033.0,CC(C)(C)c1ccc(OC2CCCCC2O)cc1,active,24.33651621,123.0581354,inactive,,0.0,CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2O
10332.0,Cc1ccc(N)c(N)c1,active,24.33651621,108.6756018,inactive,,0.0,CC1=CC(=C(C=C1)N)N
