RESULT_TAG,SID,CID,SMILES,Activity_Outcome,Activity_Score,Activity_Summary,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),Sample_Source
1,144209990,15625,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl,Active,100,active agonist,active agonist,0.002238608,54.23432049,inactive,,0,NCI
2,170466862,11219835,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,Active,81,active agonist,active agonist,0.004915874,40.5503939,inactive,,0,Selleck
3,170465220,134018,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O,Active,69,active agonist,active agonist,0.039048175,36.02134645,inactive,,0,Tocris
4,170466457,71750,C1C2=C(C=CC(=C2)N)N=C3N1C(=O)C4=CC=CC=C43,Active,69,active agonist,active agonist,0.163534628,43.96358481,active agonist,12.501,84.8439,GVK
5,144210537,153939,C1[C@H](C2=C(O1)C=C(C=C2)OCC3=CC=CC=C3)N(C(=O)N)O,Active,54,active agonist,active agonist,0.330819988,24.57079327,inactive,,0,Pharma
6,144207698,90547,C1=CC(=CC=C1C(=O)O)NN.Cl,Active,64,active agonist,active agonist,0.509709843,44.60374407,inactive,,0,SigmaAldrich
7,170466466,19646,C1=CSC(=C1)C(=O)NC2=NC=C(S2)[N+](=O)[O-],Active,63,active agonist,active agonist,0.530803864,43.79624313,active antagonist,25.6016,-36.3497,Vitas
8,144208424,41684,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],Active,62,active agonist,active agonist,0.555791368,42.28539033,active antagonist,21.2934,-71.5709,Toronto Research
9,170465090,41684,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],Active,65,active agonist,active agonist,0.618871869,47.84406761,active antagonist,21.9584,-67.8152,Vitas
10,144210116,5377793,CN(C)C1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)[N+](=O)[O-],Active,52,active agonist,active agonist,0.693058675,23.44734303,inactive,,0,SIGMA
