RESULT_TAG,SID,CID,SMILES,Activity_Outcome,Activity_Score,Activity_Summary,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),Sample_Source
1,170465705,10219,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,Active,100,active agonist,active agonist,0.03349146,211.4194337,active antagonist,0.037578,-58.1492,Enzo
2,170465704,6708701,C[C@]12C3CCC([C@]1(C(=O)OC2=O)C)O3,Active,99,active agonist,active agonist,1.01921876,362.3484966,active antagonist,0.237101,-73.1631,Enzo
3,144214002,7594,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,Active,93,active agonist,active agonist,4.86743404,489.9294473,active antagonist,5.6492,-54.6079,SIGMA
4,144206912,156414,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,Active,91,active agonist,active agonist,11.00527102,655.906322,active antagonist,2.87255,-44.3797,Selleck
5,144213201,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Active,90,active agonist,active agonist,22.53850342,949.4401877,active antagonist,27.5955,-72.5478,LightBiologicals
6,144207595,3068143,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC.Cl.Cl,Active,89,active agonist,active agonist,0.045107459,178.2182764,active antagonist,0.0687989,-69.0138,Sensient
7,144209885,11254899,CCCC[N+]1=CC=C(C=C1)C.F[P-](F)(F)(F)(F)F,Active,89,active agonist,active agonist,5.050874109,457.8846544,active antagonist,6.11927,-54.5569,Io-li-tec
8,170466414,9910986,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl,Active,88,active agonist,active agonist,0.090837968,192.4704362,active antagonist,0.074978,-58.6109,Sequoia
9,144208740,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Active,87,active agonist,active agonist,21.14958578,852.8627029,active antagonist,35.0466,-81.2788,SigmaAldrich
10,170465656,7594,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,Active,82,active agonist,active agonist,8.7417975,488.5941048,active antagonist,9.43918,-47.3489,Vitas
11,144212047,170286,C=CC(=O)OCCN1C(=O)N(C(=O)N(C1=O)CCOC(=O)C=C)CCOC(=O)C=C,Active,81,active agonist,active agonist,9.323774085,488.3562754,active antagonist,24.3365,-86.9417,SIGMA
12,170465856,5265,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,Active,80,active agonist,active agonist,3.757803573,341.1248627,active antagonist,4.55268,-74.7368,Enzo
13,144212716,47936,CC(=O)O[C@H]1[C@H]([C@@H]2[C@]([C@H](CCC2(C)C)O)([C@@]3([C@@]1(O[C@@](CC3=O)(C)C=C)C)O)C)O,Active,79,active agonist,active agonist,1.422083426,258.3687683,inactive,,0,SIGMA
14,170466454,68186,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCOC4=CC=C(C=C4)F,Active,76,active agonist,active agonist,5.955717301,363.0826005,active antagonist,6.43084,-74.008,Tocris
15,170466087,4122,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,Active,76,active agonist,active agonist,27.64399094,780.57572,active antagonist,4.91587,-44.9958,"Prestwick Chemical, Inc."
16,144207711,197873,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl,Active,75,active agonist,active agonist,3.857077889,304.2199794,active agonist,28.3743,477.046,SigmaAldrich
17,170465087,387447,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,Active,73,active agonist,active agonist,0.008095942,97.69043536,active antagonist,0.0287255,-107.095,Selleck
